id,user_id,favorite,title,slug,phone,phone_owner,website,screenshot_file_id,favicon_file_id,description,primary_image_url,address_line_1,address_line_2,city,state,postal_code,country,latitude,longitude,employees,yelp_url,linkedin_url,created_at,updated_at
13,,0,Olympus Cove Veterinary Clinic,olympus-cove-veterinary-clinic,(801) 485-6060,,http://www.olympuscovevet.com,12,133,,,3243 E 3300th S,,Salt Lake City,UT,84109,US,40.70060950,-111.80357310,,https://www.yelp.com/biz/olympus-cove-veterinary-clinic-salt-lake-city,https://linkedin.com/company/olympus-cove-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
14,,0,Riverton Veterinary Hospital,riverton-veterinary-hospital,(801) 254-6621,,https://rivertonvetclinic.com,244,,,,2789 W 12600th S,,Riverton,UT,84065,US,40.52193080,-111.95954400,20 to 49,https://www.yelp.com/biz/riverton-veterinary-hospital-riverton,https://linkedin.com/company/copper-view-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
15,,0,Hillside Veterinary Hospital,hillside-veterinary-hospital,(801) 943-2154,,http://www.hillsidevet.com,13,134,,,7054 S 2300th E,,Cottonwood Heights,UT,84121,US,40.62302120,-111.82524350,,https://www.yelp.com/biz/hillside-veterinary-hospital-cottonwood-heights-2,https://linkedin.com/company/hillside-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
16,,0,Advanced Veterinary Care,advanced-veterinary-care,(801) 942-3951,(208) 346-2542,https://www.thrivepetcare.com,14,135,,,1021 E 3300 S,,Millcreek,UT,84106,US,40.70021700,-111.86204330,1 to 4,https://www.yelp.com/biz/advanced-veterinary-care-millcreek,https://linkedin.com/company/advanced-veterinary-care-center,2024-05-03 18:42:45,2024-05-17 21:18:55
17,,1,Red Butte Veterinary Care,red-butte-veterinary-care,(801) 583-1340,,http://www.redbuttevet.com,15,136,,,1340 S 2100th E,,Salt Lake City,UT,84108,US,40.74074160,-111.83107760,5 to 9,https://www.yelp.com/biz/red-butte-veterinary-care-salt-lake-city,https://linkedin.com/company/red-butte-veterinary-care,2024-05-03 18:42:45,2024-05-17 21:18:55
18,,0,VCA Cottonwood Animal Hospital,vca-cottonwood-animal-hospital,(801) 278-0505,,https://vcahospitals.com,16,137,,,6360 Highland Dr,,Salt Lake City,UT,84121,US,40.63590010,-111.83502540,,https://www.yelp.com/biz/vca-cottonwood-animal-hospital-salt-lake-city-3,https://linkedin.com/company/vca-all-pet-animal-hospital-taylorsville,2024-05-03 18:42:45,2024-05-17 21:18:55
19,,0,Pet Stop Veterinary Clinic,pet-stop-veterinary-clinic,(801) 531-0662,,https://petstopvet.com,17,138,,,44 N 800th W,,Salt Lake City,UT,84116,US,40.77060190,-111.91356680,1 to 4,https://www.yelp.com/biz/pet-stop-veterinary-clinic-salt-lake-city,https://linkedin.com/company/pet-stop-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
20,,0,Brickyard Animal Hospital,brickyard-animal-hospital,(801) 486-0123,,https://www.brickyardanimal.com,18,139,,,1213 E 3300th S,,Salt Lake City,UT,84106,US,40.70017520,-111.85709140,10 to 19,https://www.yelp.com/biz/brickyard-animal-hospital-salt-lake-city,https://linkedin.com/company/brickyard-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
21,,0,Canyons Veterinary Clinic,canyons-veterinary-clinic,(801) 448-6263,,https://canyonsveterinaryclinic.com,19,140,,,1930 E Fort Union Blvd,,Holladay,UT,84121,US,40.62408560,-111.83635790,,https://www.yelp.com/biz/canyons-veterinary-clinic-cottonwood-heights,https://linkedin.com/company/canyons-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
22,,0,Avenues Pet Clinic,avenues-pet-clinic,(801) 364-3475,(801) 541-6893,http://avenuespetclinicslc.com,20,141,,,350 E 100th S,,Salt Lake City,UT,84111,US,40.76686650,-111.88072970,10 to 19,https://www.yelp.com/biz/avenues-pet-clinic-salt-lake-city,https://linkedin.com/company/wasatch-hollow-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
23,,0,Murray Animal Hospital (WEBSITE NOT LISTED ON GOOGLE OR YELP),murray-animal-hospital,(801) 281-3900,,https://www.mahutah.com,245,,,,280 W 4800th S,,Murray,UT,84107,US,40.66689160,-111.88799090,,https://www.yelp.com/biz/murray-animal-hospital-murray-3,https://linkedin.com/company/mariemont-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
24,,0,A Gentle Vet,a-gentle-vet,(801) 968-9932,(801) 400-0614,http://www.agentlevet.com,21,142,,,3694 W 9800th S,,South Jordan,UT,84009,US,40.57376020,-111.97835530,10 to 19,https://www.yelp.com/biz/a-gentle-vet-south-jordan,https://linkedin.com/company/a-gentle-vet,2024-05-03 18:42:45,2024-05-17 21:18:55
25,,0,Sugar House Veterinary Hospital,sugar-house-veterinary-hospital,(801) 487-9981,,http://www.sugarhousevet.com,22,143,,,2206 S McClelland St,,Salt Lake City,UT,84106,US,40.72290810,-111.86134300,20 to 49,https://www.yelp.com/biz/sugar-house-veterinary-hospital-salt-lake-city,https://linkedin.com/company/centralpetvet,2024-05-03 18:42:45,2024-05-17 21:18:55
26,,0,VCA Lakeview Animal Hospital,vca-lakeview-animal-hospital,(801) 298-2314,,https://vcahospitals.com,23,144,,,1975 South Orchard Drive,,Bountiful,UT,84010,US,40.86849960,-111.87751140,10 to 19,https://www.yelp.com/biz/vca-lakeview-animal-hospital-bountiful,https://linkedin.com/company/ethos-veterinary-health,2024-05-03 18:42:45,2024-05-17 21:18:55
27,,0,Animal Care Center,animal-care-center,(801) 683-3647,,https://www.thrivepetcare.com,24,145,,,698 W 500th S,,Woods Cross,UT,84087,US,40.88465680,-111.89873630,20 to 49,https://www.yelp.com/biz/animal-care-center-woods-cross,https://linkedin.com/company/animalcarecenters,2024-05-03 18:42:45,2024-05-17 21:18:55
29,,0,Animal Health VIPS,animal-health-vips-vet-integrative-amp-performance-specialists,(435) 647-0807,,http://www.animalhealthvips.com,26,147,,,3070 Rasmussen Rd,Ste 80,Park City,UT,84098,US,40.75526190,-111.57005640,5 to 9,https://www.yelp.com/biz/animal-health-vips-vet-integrative-and-performance-specialists-park-city,https://linkedin.com/company/animal-health-options,2024-05-03 18:42:45,2024-05-17 21:18:55
30,,0,VCA All Pet Animal Hospital,vca-all-pet-animal-hospitaltaylorsville,(801) 966-4700,,https://vcahospitals.com,27,148,,,2530 W 4700 S,Ste B1,Taylorsville,UT,84129,US,40.66789640,-111.95472260,20 to 49,https://www.yelp.com/biz/vca-all-pet-animal-hospital-taylorsville-taylorsville-2,https://linkedin.com/company/vca-all-pets-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
31,,0,Hunter Animal Hospital,hunter-animal-hospital,(801) 968-0123,(727) 710-0473,https://www.hunteranimalhospitalut.com,28,149,,,5246 W 3500th S,,West Valley City,UT,84120,US,40.69696960,-112.01639730,20 to 49,https://www.yelp.com/biz/hunter-animal-hospital-west-valley-city,https://linkedin.com/company/hunter-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
32,,0,Midvalley Animal Clinic,midvalley-animal-clinic,(801) 269-1213,,http://www.midvalleyanimalclinic.com,29,150,,,6047 S Redwood Rd,,Salt Lake City,UT,84123,US,40.64138380,-111.93778770,20 to 49,https://www.yelp.com/biz/midvalley-animal-clinic-salt-lake-city,https://linkedin.com/company/midvalley-animal-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
33,,0,BluePearl,bluepearl-midvale,(801) 871-0600,(813) 549-6990,https://bluepearlvet.com,30,151,,,308 W 7200th S,,Midvale,UT,84047,US,40.62113350,-111.90031610,20 to 49,https://www.yelp.com/biz/bluepearl-midvale-midvale-2,https://linkedin.com/company/bluepearl-vet,2024-05-03 18:42:45,2024-05-17 21:18:55
34,,0,VCA Powder Paws Animal Hospital,vca-powder-paws-animal-hospital,(435) 649-1221,,https://vcahospitals.com,31,152,,,2780 Rasmussen Rd B6,Unit B6,Park City,UT,84098,US,40.74789790,-111.56439040,,https://www.yelp.com/biz/vca-powder-paws-animal-hospital-park-city-2,,2024-05-03 18:42:45,2024-05-10 23:02:30
35,,0,Utah Dog Park,utah-dog-park-salt-lake-city,(801) 294-5960,,https://www.thrivepetcare.com,32,153,,,1977 W North Temple,,Salt Lake City,UT,84116,US,40.77109210,-111.94768720,5 to 9,https://www.yelp.com/biz/utah-dog-park-salt-lake-city-salt-lake-city,https://linkedin.com/company/utah-dog-park,2024-05-03 18:42:45,2024-05-17 21:18:55
36,,0,Redwood Veterinary Hospital,redwood-veterinary-hospital,(801) 966-3974,(801) 733-9881,http://www.utahredwoodvet.com,33,154,,,4958 S Redwood Rd,,Salt Lake City,UT,84123,US,40.66144210,-111.93944050,10 to 19,https://www.yelp.com/biz/redwood-veterinary-hospital-salt-lake-city,https://linkedin.com/company/redwood-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
38,,0,Sandy Animal Clinic,sandy-animal-clinic,(801) 566-2410,,http://www.sandyanimalclinic.net,35,156,,,10670 S 1300th E,,Sandy,UT,84094,US,40.55747120,-111.85373780,10 to 19,https://www.yelp.com/biz/sandy-animal-clinic-sandy,https://linkedin.com/company/sandy-springs-animal-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
39,,1,Animal Care Daybreak,animal-care-daybreak,(385) 273-5373,(801) 232-2967,http://animalcaredaybreak.com,36,157,,,4696 Daybreak Rim Way,,South Jordan,UT,84095,US,40.54574230,-112.00308940,20 to 49,https://www.yelp.com/biz/animal-care-daybreak-south-jordan,https://linkedin.com/company/animal-care-daybreak,2024-05-03 18:42:45,2024-05-17 21:18:55
40,,0,MedVet Salt Lake City,medvet-salt-lake-city,(385) 341-4444,,https://www.medvet.com,37,158,,,331 W Bearcat Dr,,Salt Lake City,UT,84115,US,40.71915750,-111.90017580,100 to 249,https://www.yelp.com/biz/medvet-salt-lake-city-salt-lake-city,https://linkedin.com/company/medvet-medical-and-cancer-centers-for-pets,2024-05-03 18:42:45,2024-05-17 21:18:55
41,,1,Kaysville Veterinary Hospital,kaysville-veterinary-hospital,(801) 444-3770,,http://www.kaysvilleveterinaryhospital.com,38,159,,,166 S Main St,,Kaysville,UT,84037,US,41.03225670,-111.93776370,5 to 9,https://www.yelp.com/biz/kaysville-veterinary-hospital-kaysville-3,https://linkedin.com/company/kaysville-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
42,,0,Wilson Veterinary Hospital,wilson-veterinary-hospital,(801) 298-3974,,https://www.wilsonveterinaryhospital.com,39,160,,,50 N Highway 89,,North Salt Lake,UT,84054,US,40.84324770,-111.89563940,,https://www.yelp.com/biz/wilson-veterinary-hospital-north-salt-lake,https://linkedin.com/company/wilson-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
43,,0,West Jordan Veterinary Hospital,west-jordan-veterinary-hospital,(801) 561-9271,,https://www.animalcrackersvet.com,40,161,,,7540 S Redwood Rd,,West Jordan,UT,84084,US,40.61448420,-111.93944050,,https://www.yelp.com/biz/west-jordan-veterinary-hospital-west-jordan,https://linkedin.com/company/west-jordan-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
44,,0,"Veterinary Technician Services, LLC",veterinary-technician-services-llc,(385) 252-9791,,http://www.veterinarytechnicianservices.com,246,162,,,3333 S 900th E,Ste 160,Salt Lake City,UT,84106,US,40.69941130,-111.86498530,,https://www.yelp.com/biz/veterinary-technician-services-llc-salt-lake-city,https://linkedin.com/company/veterinary-technician-services-llc,2024-05-03 18:42:45,2024-05-17 21:18:55
45,,0,Parrish Creek Veterinary Clinic,parrish-creek-veterinary-clinic,(801) 298-2014,,http://www.parrishcreekvet.com,41,163,,,86 N 70th W,,Centerville,UT,84014,US,40.91786730,-111.87972830,,https://www.yelp.com/biz/parrish-creek-veterinary-clinic-centerville,https://linkedin.com/company/parrish-creek-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
46,,0,Spay & Neuter,spay-amp-neuter,(801) 262-6414,,http://www.spayandneuterofslc.com,42,164,,,4815 S Center St,,Murray,UT,84107,US,40.66678210,-111.88596970,,https://www.yelp.com/biz/spay-and-neuter-murray,https://linkedin.com/company/snapus,2024-05-03 18:42:45,2024-05-17 21:18:55
47,,0,Wasatch Springs Animal Hospital,wasatch-springs-animal-hospital,(801) 532-1100,,http://www.saltlakeveterinarian.com,43,165,,,855 Beck St,,Salt Lake City,UT,84103,US,40.78798790,-111.90042690,5 to 9,https://www.yelp.com/biz/wasatch-springs-animal-hospital-salt-lake-city,https://linkedin.com/company/valley-behavioral-health,2024-05-03 18:42:45,2024-05-17 21:18:55
48,,0,Mountain West Veterinary Specialists,mountain-west-veterinary-specialists,(801) 683-6201,,http://www.mtnwestvet.com,44,166,,,908 North Main St,,Layton,UT,84041,US,41.07336370,-111.97876560,50 to 99,https://www.yelp.com/biz/mountain-west-veterinary-specialists-layton-2,https://linkedin.com/company/mountain-west-veterinary-specialists,2024-05-03 18:42:45,2024-05-17 21:18:55
49,,1,River Valley Veterinary Hospital,river-valley-veterinary-hospital,(801) 829-3632,,http://rivervalleyvets.com,45,167,,,395 N 400 E,,Morgan,UT,84050,US,41.04714700,-111.67918360,5 to 9,https://www.yelp.com/biz/river-valley-veterinary-hospital-morgan,https://linkedin.com/company/river-valley-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
50,,0,Tooele Veterinary Clinic,tooele-veterinary-clinic,(435) 882-1051,(435) 882-7379,http://TooeleVetClinic.com,46,168,,,1182 N 80th E,,Tooele,UT,84074,US,40.55442210,-112.29533410,5 to 9,https://www.yelp.com/biz/tooele-veterinary-clinic-tooele,https://linkedin.com/company/tooele-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
51,,0,Humane Society of Utah,humane-society-of-utah,(801) 261-2919,,http://utahhumane.org,47,169,,,4242 S 300th W,,Murray,UT,84107,US,40.67960900,-111.90073480,100 to 249,https://www.yelp.com/biz/humane-society-of-utah-murray,https://linkedin.com/company/humane-society-of-utah,2024-05-03 18:42:45,2024-05-17 21:18:55
52,,0,VCA Willow Creek Pet Center,vca-willow-creek-pet-center,(801) 942-0777,,https://vcahospitals.com,48,170,,,2055 E Creek Rd,,Cottonwood Heights,UT,84093,US,40.60278460,-111.83228410,,https://www.yelp.com/biz/vca-willow-creek-pet-center-cottonwood-heights,,2024-05-03 18:42:45,2024-05-10 23:03:31
54,,0,Layton Veterinary Hospital,layton-veterinary-hospital,(801) 823-2107,,https://www.thrivepetcare.com,50,172,,,1538 N Main St.,,Layton,UT,84041,US,41.08227190,-111.99186250,10 to 19,https://www.yelp.com/biz/layton-veterinary-hospital-layton,https://linkedin.com/company/layton-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
55,,0,Copper View Animal Hospital,copper-view-animal-hospital,(801) 753-1165,,http://www.copperviewanimalhospital.com,51,173,,,13199 S 3600th W,,Riverton,UT,84065,US,40.51129260,-111.97682380,50 to 99,https://www.yelp.com/biz/copper-view-animal-hospital-riverton,https://linkedin.com/company/copper-view-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
56,,0,Bayview Animal Hospital,bayview-animal-hospital,(801) 451-2359,,http://www.bayviewanimalhospital.net,52,174,,,677 Shepard Ln,,Farmington,UT,84025,US,41.00025940,-111.90227180,,https://www.yelp.com/biz/bayview-animal-hospital-farmington-3,https://linkedin.com/company/bayview-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
58,,0,VetIQ Petcare,vetiq-petcare,(801) 203-4389,,https://vetiqpetcare.com,54,176,,,221 W Parrish Ln,,Centerville,UT,84014,US,40.91892330,-111.88331480,,https://www.yelp.com/biz/vetiq-petcare-centerville,https://linkedin.com/company/vetiq-petcare,2024-05-03 18:42:45,2024-05-17 21:18:55
60,,1,West Valley Veterinary Clinic,west-valley-veterinary-clinic,(801) 966-4219,,https://www.westvalleyvetclinic.com,56,178,,,3875 West 3500 S,,West Valley City,UT,84120,US,40.69610800,-111.98347300,10 to 19,https://www.yelp.com/biz/west-valley-veterinary-clinic-west-valley-city-2,https://linkedin.com/company/west-valley-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
61,,0,Banfield Pet Hospital,banfield-pet-hospital,(801) 280-6260,,http://www.banfield.com,57,179,,,7712 S 5600th W,,West Jordan,UT,84081,US,40.63975610,-112.02456740,,https://www.yelp.com/biz/banfield-pet-hospital-west-jordan,https://linkedin.com/company/banfield-pet-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
62,,1,Brookside Animal Hospital,brookside-animal-hospital,(801) 255-3545,,https://brooksidewestjordan.com,247,,,,7220 S 1300th W,,West Jordan,UT,84084,US,40.61945650,-111.92965930,10 to 19,https://www.yelp.com/biz/brookside-animal-hospital-west-jordan,https://linkedin.com/company/brookside-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
63,,0,Eye Care for Animals,eye-care-for-animals,(801) 942-3937,(208) 346-2542,https://www.eyecareforanimals.com,58,180,,,1021 E 3300th S,,Salt Lake City,UT,84106,US,40.70021700,-111.86204330,1 to 4,https://www.yelp.com/biz/eye-care-for-animals-salt-lake-city-2,https://linkedin.com/company/eye-care-for-animals,2024-05-03 18:42:45,2024-05-17 21:18:55
64,,0,Animal Medical Clinic,animal-medical-clinic,(801) 292-7219,,https://www.thrivepetcare.com,59,181,,,215 South 500 W,,Bountiful,UT,84010,US,40.88704100,-111.89172200,20 to 49,https://www.yelp.com/biz/animal-medical-clinic-bountiful-2,https://linkedin.com/company/animal-medical-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
65,,0,South Mountain Pet Care,south-mountain-pet-care,(801) 987-3639,,http://southmtnpet.com,60,182,,,132 E 13800th S,,Draper,UT,84020,US,40.50047020,-111.88678010,10 to 19,https://www.yelp.com/biz/south-mountain-pet-care-draper-2,https://linkedin.com/company/south-mountain-pet-care-&-canine-reproduction,2024-05-03 18:42:45,2024-05-17 21:18:55
66,,0,Draper Animal Hospital,draper-animal-hospital,(801) 553-2104,,http://www.draperanimalhospital.com,61,183,,,783 E 12300th S,Ste A,Draper,UT,84020,US,40.52722520,-111.86910850,5 to 9,https://www.yelp.com/biz/draper-animal-hospital-draper,https://linkedin.com/company/draper-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
67,,0,VCA Mountain View Animal Hospital,vca-mountain-view-animal-hospital,(801) 523-1176,,https://vcahospitals.com,62,184,,,9414 S Indian Ridge Dr,,Sandy,UT,84092,US,40.58013370,-111.85287750,20 to 49,https://www.yelp.com/biz/vca-mountain-view-animal-hospital-sandy,https://linkedin.com/company/vca-mountainview-animal-hospital-&-pet-lodge,2024-05-03 18:42:45,2024-05-17 21:18:55
69,,1,Bountiful Small Animal Hospital,bountiful-small-animal-hospital,(801) 295-0733,,http://www.bountifulanimalhospital.com,64,186,,,880 S 500th W,,Woods Cross,UT,84010,US,40.88079840,-111.89290970,10 to 19,https://www.yelp.com/biz/bountiful-small-animal-hospital-woods-cross,https://linkedin.com/company/bountiful-small-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
70,,1,Lone Peak Veterinary Hospital,lone-peak-veterinary-hospital,(801) 572-5403,(801) 621-0440,http://www.lonepeakvet.com,65,187,,,12444 S 300th E,,Draper,UT,84020,US,40.52459870,-111.88263940,1 to 4,https://www.yelp.com/biz/lone-peak-veterinary-hospital-draper-2,https://linkedin.com/company/lone-peak-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
72,,0,VCA Amor Animal Hospital,vca-amor-animal-hospital,(801) 561-9595,,https://vcahospitals.com,66,188,,,8576 S Redwood Rd,,West Jordan,UT,84088,US,40.59549870,-111.93946450,,https://www.yelp.com/biz/vca-amor-animal-hospital-west-jordan,https://linkedin.com/company/bourbon-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
74,,0,Stone Ridge Veterinary Clinic,stone-ridge-veterinary-clinic,(801) 254-4840,,http://www.stoneridgevetclinic.com,68,190,,,1381 W Stone Ridge Ln,,Riverton,UT,84065,US,40.53591390,-111.93107930,20 to 49,https://www.yelp.com/biz/stone-ridge-veterinary-clinic-riverton-2,https://linkedin.com/company/stone-ridge-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
75,,0,Salt Lake Animal Physical Therapy,salt-lake-animal-physical-therapy,(385) 354-7272,,http://www.saltlakeanimalphysicaltherapy.com,69,191,,,2285 S Main St,Ste J,South Salt Lake,UT,84115,US,40.72117260,-111.89062640,,https://www.yelp.com/biz/salt-lake-animal-physical-therapy-south-salt-lake,https://linkedin.com/company/intermountain-therapy-animals,2024-05-03 18:42:45,2024-05-17 21:18:55
76,,0,West Lake Animal Hospital,west-lake-animal-hospital,(801) 966-6348,,https://westlakeanimalutah.com,70,192,,,3800 W 5400th S,,Taylorsville,UT,84129,US,40.65389170,-111.98235310,10 to 19,https://www.yelp.com/biz/west-lake-animal-hospital-taylorsville,https://linkedin.com/company/westlake-animal-hospital-inc,2024-05-03 18:42:45,2024-05-17 21:18:55
79,,0,Pinebrook Animal Hospital,pinebrook-animal-hospital,(435) 571-0456,,http://www.pinebrookanimalhospital.com,73,195,,,8178 Gorgoza Pines Rd,Ste C,Park City,UT,84098,US,40.74971280,-111.57212250,,https://www.yelp.com/biz/pinebrook-animal-hospital-park-city,https://linkedin.com/company/pinebrook-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
80,,0,Quail Pointe Veterinary Hospital,quail-pointe-veterinary-hospital,(801) 825-9191,,http://www.qpvh.com,74,196,,,868 N 2000 W,,Clearfield,UT,84015,US,41.12632150,-112.06379860,20 to 49,https://www.yelp.com/biz/quail-pointe-veterinary-hospital-clearfield-4,https://linkedin.com/company/quail-pointe-veterinary-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
81,,0,Banfield Pet Hospital,banfield-pet-hospital-2,(801) 463-6488,,http://www.banfield.com,75,197,,,389 W 1830th S,,Salt Lake City,UT,84115,US,40.72932270,-111.90222530,10 to 19,https://www.yelp.com/biz/banfield-pet-hospital-salt-lake-city,,2024-05-03 18:42:45,2024-05-10 23:04:58
82,,0,Stansbury Animal Hospital,stansbury-animal-hospital,(435) 843-0341,,http://stansburyanimalhospital.com,76,198,,,6422 N Gateway Dr,,Stansbury Park,UT,84074,US,40.64565620,-112.29032790,,https://www.yelp.com/biz/stansbury-animal-hospital-stansbury-park-2,https://linkedin.com/company/stansbury-animal-hospital,2024-05-03 18:42:45,2024-05-17 21:18:55
83,,0,Animal Care Center - Airport,animal-care-center-airport,(801) 294-5960,,https://www.thrivepetcare.com,77,199,,,1977 W North Temple St,,Salt Lake City,UT,84116,US,40.77109210,-111.94768720,5 to 9,https://www.yelp.com/biz/animal-care-center-airport-salt-lake-city,https://linkedin.com/company/arkjfk,2024-05-03 18:42:45,2024-05-17 21:18:55
84,,0,Highland Park Pet Hospital,highland-park-pet-hospital,(385) 243-2273,,http://www.highlandparkpethospital.com,78,200,,,2148 S 900th E,,Salt Lake City,UT,84106,US,40.72424160,-111.86581670,5 to 9,https://www.yelp.com/biz/highland-park-pet-hospital-no-title,https://linkedin.com/company/highland-park-animal-hospital-dallas,2024-05-03 18:42:45,2024-05-17 21:18:55
85,,1,Mountain Vale Clinic,mountain-vale-clinic-salt-lake-veterinary-services,(801) 261-3655,,https://www.saltlakevetservices.com,79,201,,,1114 W 4800 S,,Salt Lake City,UT,84123,US,40.66493760,-111.92354070,,https://www.yelp.com/biz/mountain-vale-clinic-salt-lake-veterinary-services-salt-lake-city-2,https://linkedin.com/company/vale-veterinary-clinic,2024-05-03 18:42:45,2024-05-17 21:18:55
