id,user_id,title,slug,phone,phone_owner,website,screenshot_file_id,favicon_file_id,description,primary_image_url,address_line_1,address_line_2,city,state,postal_code,country,latitude,longitude,employees,yelp_url,created_at,updated_at
19,,Pet Stop Veterinary Clinic,pet-stop-veterinary-clinic,(801) 531-0662,,https://petstopvet.com,17,,,,44 N 800th W,,Salt Lake City,UT,84116,US,40.77060190,-111.91356680,1 to 4,https://www.yelp.com/biz/pet-stop-veterinary-clinic-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:52
20,,Brickyard Animal Hospital,brickyard-animal-hospital,(801) 486-0123,,https://www.brickyardanimal.com,18,,,,1213 E 3300th S,,Salt Lake City,UT,84106,US,40.70017520,-111.85709140,10 to 19,https://www.yelp.com/biz/brickyard-animal-hospital-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:53
21,,Canyons Veterinary Clinic,canyons-veterinary-clinic,(801) 448-6263,,https://canyonsveterinaryclinic.com,19,,,,1930 E Fort Union Blvd,,Holladay,UT,84121,US,40.62408560,-111.83635790,,https://www.yelp.com/biz/canyons-veterinary-clinic-cottonwood-heights,2024-05-03 18:42:45,2024-05-03 21:39:56
22,,Avenues Pet Clinic,avenues-pet-clinic,(801) 364-3475,(801) 541-6893,http://avenuespetclinicslc.com,20,,,,350 E 100th S,,Salt Lake City,UT,84111,US,40.76686650,-111.88072970,10 to 19,https://www.yelp.com/biz/avenues-pet-clinic-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:39:58
23,,Murray Animal Hospital,murray-animal-hospital,(801) 281-3900,,,,,,,280 W 4800th S,,Murray,UT,84107,US,40.66689160,-111.88799090,,https://www.yelp.com/biz/murray-animal-hospital-murray-3,2024-05-03 18:42:45,2024-05-03 18:43:20
24,,A Gentle Vet,a-gentle-vet,(801) 968-9932,(801) 400-0614,http://www.agentlevet.com,21,,,,3694 W 9800th S,,South Jordan,UT,84009,US,40.57376020,-111.97835530,10 to 19,https://www.yelp.com/biz/a-gentle-vet-south-jordan,2024-05-03 18:42:45,2024-05-03 21:39:59
25,,Sugar House Veterinary Hospital,sugar-house-veterinary-hospital,(801) 487-9981,,http://www.sugarhousevet.com,22,,,,2206 S McClelland St,,Salt Lake City,UT,84106,US,40.72290810,-111.86134300,20 to 49,https://www.yelp.com/biz/sugar-house-veterinary-hospital-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:40:01
26,,VCA Lakeview Animal Hospital,vca-lakeview-animal-hospital,(801) 298-2314,,https://vcahospitals.com,23,,,,1975 South Orchard Drive,,Bountiful,UT,84010,US,40.86849960,-111.87751140,10 to 19,https://www.yelp.com/biz/vca-lakeview-animal-hospital-bountiful,2024-05-03 18:42:45,2024-05-03 21:40:03
27,,Animal Care Center,animal-care-center,(801) 683-3647,,https://www.thrivepetcare.com,24,,,,698 W 500th S,,Woods Cross,UT,84087,US,40.88465680,-111.89873630,20 to 49,https://www.yelp.com/biz/animal-care-center-woods-cross,2024-05-03 18:42:45,2024-05-03 21:40:05
28,,Salt Lake Veterinary Services,salt-lake-veterinary-services,(801) 261-3655,,http://saltlakevetservices.com,25,,,,1114 W 4800th S,,Taylorsville,UT,84123,US,40.66770040,-111.93881590,,https://www.yelp.com/biz/salt-lake-veterinary-services-taylorsville-4,2024-05-03 18:42:45,2024-05-03 21:40:07
29,,Animal Health VIPS - Vet Integrative &amp; Performance Specialists,animal-health-vips-vet-integrative-amp-performance-specialists,(435) 647-0807,,http://www.animalhealthvips.com,26,,,,3070 Rasmussen Rd,Ste 80,Park City,UT,84098,US,40.75526190,-111.57005640,5 to 9,https://www.yelp.com/biz/animal-health-vips-vet-integrative-and-performance-specialists-park-city,2024-05-03 18:42:45,2024-05-03 21:40:08
30,,VCA All Pet Animal Hospital/Taylorsville,vca-all-pet-animal-hospitaltaylorsville,(801) 966-4700,,https://vcahospitals.com,27,,,,2530 W 4700 S,Ste B1,Taylorsville,UT,84129,US,40.66789640,-111.95472260,20 to 49,https://www.yelp.com/biz/vca-all-pet-animal-hospital-taylorsville-taylorsville-2,2024-05-03 18:42:45,2024-05-03 21:40:10
31,,Hunter Animal Hospital,hunter-animal-hospital,(801) 968-0123,(727) 710-0473,https://www.hunteranimalhospitalut.com,28,,,,5246 W 3500th S,,West Valley City,UT,84120,US,40.69696960,-112.01639730,20 to 49,https://www.yelp.com/biz/hunter-animal-hospital-west-valley-city,2024-05-03 18:42:45,2024-05-03 21:40:12
32,,Midvalley Animal Clinic,midvalley-animal-clinic,(801) 269-1213,,http://www.midvalleyanimalclinic.com,29,,,,6047 S Redwood Rd,,Salt Lake City,UT,84123,US,40.64138380,-111.93778770,20 to 49,https://www.yelp.com/biz/midvalley-animal-clinic-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:40:14
33,,BluePearl - Midvale,bluepearl-midvale,(801) 871-0600,(813) 549-6990,https://bluepearlvet.com,30,,,,308 W 7200th S,,Midvale,UT,84047,US,40.62113350,-111.90031610,20 to 49,https://www.yelp.com/biz/bluepearl-midvale-midvale-2,2024-05-03 18:42:45,2024-05-03 21:40:16
34,,VCA Powder Paws Animal Hospital,vca-powder-paws-animal-hospital,(435) 649-1221,,https://vcahospitals.com,31,,,,2780 Rasmussen Rd B6,Unit B6,Park City,UT,84098,US,40.74789790,-111.56439040,,https://www.yelp.com/biz/vca-powder-paws-animal-hospital-park-city-2,2024-05-03 18:42:45,2024-05-03 21:40:18
35,,Utah Dog Park- Salt Lake City,utah-dog-park-salt-lake-city,(801) 294-5960,,https://www.thrivepetcare.com,32,,,,1977 W North Temple,,Salt Lake City,UT,84116,US,40.77109210,-111.94768720,5 to 9,https://www.yelp.com/biz/utah-dog-park-salt-lake-city-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:40:19
36,,Redwood Veterinary Hospital,redwood-veterinary-hospital,(801) 966-3974,(801) 733-9881,http://www.utahredwoodvet.com,33,,,,4958 S Redwood Rd,,Salt Lake City,UT,84123,US,40.66144210,-111.93944050,10 to 19,https://www.yelp.com/biz/redwood-veterinary-hospital-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:40:21
37,,Mini Doodle Dogs,mini-doodle-dogs,(801) 989-1705,,https://minidoodledogs.com,34,,,,,,Clinton,UT,84015,US,41.13966600,-112.05049830,,https://www.yelp.com/biz/mini-doodle-dogs-clinton-2,2024-05-03 18:42:45,2024-05-03 21:40:22
38,,Sandy Animal Clinic,sandy-animal-clinic,(801) 566-2410,,http://www.sandyanimalclinic.net,35,,,,10670 S 1300th E,,Sandy,UT,84094,US,40.55747120,-111.85373780,10 to 19,https://www.yelp.com/biz/sandy-animal-clinic-sandy,2024-05-03 18:42:45,2024-05-03 21:40:23
39,,Animal Care Daybreak,animal-care-daybreak,(385) 273-5373,(801) 232-2967,http://animalcaredaybreak.com,36,,,,4696 Daybreak Rim Way,,South Jordan,UT,84095,US,40.54574230,-112.00308940,20 to 49,https://www.yelp.com/biz/animal-care-daybreak-south-jordan,2024-05-03 18:42:45,2024-05-03 21:40:25
40,,MedVet Salt Lake City,medvet-salt-lake-city,(385) 341-4444,,https://www.medvet.com,37,,,,331 W Bearcat Dr,,Salt Lake City,UT,84115,US,40.71915750,-111.90017580,100 to 249,https://www.yelp.com/biz/medvet-salt-lake-city-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:40:27
41,,Kaysville Veterinary Hospital,kaysville-veterinary-hospital,(801) 444-3770,,http://www.kaysvilleveterinaryhospital.com,38,,,,166 S Main St,,Kaysville,UT,84037,US,41.03225670,-111.93776370,5 to 9,https://www.yelp.com/biz/kaysville-veterinary-hospital-kaysville-3,2024-05-03 18:42:45,2024-05-03 21:40:29
42,,Wilson Veterinary Hospital,wilson-veterinary-hospital,(801) 298-3974,,https://www.wilsonveterinaryhospital.com,39,,,,50 N Highway 89,,North Salt Lake,UT,84054,US,40.84324770,-111.89563940,,https://www.yelp.com/biz/wilson-veterinary-hospital-north-salt-lake,2024-05-03 18:42:45,2024-05-03 21:40:30
43,,West Jordan Veterinary Hospital,west-jordan-veterinary-hospital,(801) 561-9271,,https://www.animalcrackersvet.com,40,,,,7540 S Redwood Rd,,West Jordan,UT,84084,US,40.61448420,-111.93944050,,https://www.yelp.com/biz/west-jordan-veterinary-hospital-west-jordan,2024-05-03 18:42:45,2024-05-03 21:40:32
44,,"Veterinary Technician Services, LLC",veterinary-technician-services-llc,(385) 252-9791,,http://www.veterinarytechnicianservices.com,,,,,3333 S 900th E,Ste 160,Salt Lake City,UT,84106,US,40.69941130,-111.86498530,,https://www.yelp.com/biz/veterinary-technician-services-llc-salt-lake-city,2024-05-03 18:42:45,2024-05-03 18:43:52
45,,Parrish Creek Veterinary Clinic,parrish-creek-veterinary-clinic,(801) 298-2014,,http://www.parrishcreekvet.com,41,,,,86 N 70th W,,Centerville,UT,84014,US,40.91786730,-111.87972830,,https://www.yelp.com/biz/parrish-creek-veterinary-clinic-centerville,2024-05-03 18:42:45,2024-05-03 21:40:33
46,,Spay &amp; Neuter,spay-amp-neuter,(801) 262-6414,,http://www.spayandneuterofslc.com,42,,,,4815 S Center St,,Murray,UT,84107,US,40.66678210,-111.88596970,,https://www.yelp.com/biz/spay-and-neuter-murray,2024-05-03 18:42:45,2024-05-03 21:40:35
47,,Wasatch Springs Animal Hospital,wasatch-springs-animal-hospital,(801) 532-1100,,http://www.saltlakeveterinarian.com,43,,,,855 Beck St,,Salt Lake City,UT,84103,US,40.78798790,-111.90042690,5 to 9,https://www.yelp.com/biz/wasatch-springs-animal-hospital-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:40:36
48,,Mountain West Veterinary Specialists,mountain-west-veterinary-specialists,(801) 683-6201,,http://www.mtnwestvet.com,44,,,,908 North Main St,,Layton,UT,84041,US,41.07336370,-111.97876560,50 to 99,https://www.yelp.com/biz/mountain-west-veterinary-specialists-layton-2,2024-05-03 18:42:45,2024-05-03 21:40:38
49,,River Valley Veterinary Hospital,river-valley-veterinary-hospital,(801) 829-3632,,http://rivervalleyvets.com,45,,,,395 N 400 E,,Morgan,UT,84050,US,41.04714700,-111.67918360,5 to 9,https://www.yelp.com/biz/river-valley-veterinary-hospital-morgan,2024-05-03 18:42:45,2024-05-03 21:40:39
50,,Tooele Veterinary Clinic,tooele-veterinary-clinic,(435) 882-1051,(435) 882-7379,http://TooeleVetClinic.com,46,,,,1182 N 80th E,,Tooele,UT,84074,US,40.55442210,-112.29533410,5 to 9,https://www.yelp.com/biz/tooele-veterinary-clinic-tooele,2024-05-03 18:42:45,2024-05-03 21:40:42
51,,Humane Society of Utah,humane-society-of-utah,(801) 261-2919,,http://utahhumane.org,47,,,,4242 S 300th W,,Murray,UT,84107,US,40.67960900,-111.90073480,100 to 249,https://www.yelp.com/biz/humane-society-of-utah-murray,2024-05-03 18:42:45,2024-05-03 21:40:43
52,,VCA Willow Creek Pet Center,vca-willow-creek-pet-center,(801) 942-0777,,https://vcahospitals.com,48,,,,2055 E Creek Rd,,Cottonwood Heights,UT,84093,US,40.60278460,-111.83228410,,https://www.yelp.com/biz/vca-willow-creek-pet-center-cottonwood-heights,2024-05-03 18:42:45,2024-05-03 21:40:45
53,,Healthy Pets Mountain West,healthy-pets-mountain-west,(801) 944-7353,,http://www.healthypetsmw.com,49,,,,2242 Fort Union Blvd,Ste A5,Salt Lake City,UT,84121,US,40.62369910,-111.82657690,,https://www.yelp.com/biz/healthy-pets-mountain-west-salt-lake-city-3,2024-05-03 18:42:45,2024-05-03 21:40:47
54,,Layton Veterinary Hospital,layton-veterinary-hospital,(801) 823-2107,,https://www.thrivepetcare.com,50,,,,1538 N Main St.,,Layton,UT,84041,US,41.08227190,-111.99186250,10 to 19,https://www.yelp.com/biz/layton-veterinary-hospital-layton,2024-05-03 18:42:45,2024-05-03 21:40:49
55,,Copper View Animal Hospital,copper-view-animal-hospital,(801) 753-1165,,http://www.copperviewanimalhospital.com,51,,,,13199 S 3600th W,,Riverton,UT,84065,US,40.51129260,-111.97682380,50 to 99,https://www.yelp.com/biz/copper-view-animal-hospital-riverton,2024-05-03 18:42:45,2024-05-03 21:40:51
56,,Bayview Animal Hospital,bayview-animal-hospital,(801) 451-2359,,http://www.bayviewanimalhospital.net,52,,,,677 Shepard Ln,,Farmington,UT,84025,US,41.00025940,-111.90227180,,https://www.yelp.com/biz/bayview-animal-hospital-farmington-3,2024-05-03 18:42:45,2024-05-03 21:40:53
57,,Bayview Boarding,bayview-boarding,(801) 784-5819,,http://www.bayviewanimalhospital.net,53,,,,2215 W Gentile St,,Layton,UT,84041,US,41.05982280,-112.00770980,,https://www.yelp.com/biz/bayview-boarding-layton,2024-05-03 18:42:45,2024-05-03 21:40:55
58,,VetIQ Petcare,vetiq-petcare,(801) 203-4389,,https://vetiqpetcare.com,54,,,,221 W Parrish Ln,,Centerville,UT,84014,US,40.91892330,-111.88331480,,https://www.yelp.com/biz/vetiq-petcare-centerville,2024-05-03 18:42:45,2024-05-03 21:40:56
59,,Heartsong Spay Neuter Clinic,heartsong-spay-neuter-clinic,(801) 614-5252,,http://heartsongspayneuter.com,55,,,,600 S State St,,Clearfield,UT,84015,US,41.10420460,-112.01798000,,https://www.yelp.com/biz/heartsong-spay-neuter-clinic-clearfield,2024-05-03 18:42:45,2024-05-03 21:40:57
60,,West Valley Veterinary Clinic,west-valley-veterinary-clinic,(801) 966-4219,,https://www.westvalleyvetclinic.com,56,,,,3875 West 3500 S,,West Valley City,UT,84120,US,40.69610800,-111.98347300,10 to 19,https://www.yelp.com/biz/west-valley-veterinary-clinic-west-valley-city-2,2024-05-03 18:42:45,2024-05-03 21:40:59
61,,Banfield Pet Hospital,banfield-pet-hospital,(801) 280-6260,,http://www.banfield.com,57,,,,7712 S 5600th W,,West Jordan,UT,84081,US,40.63975610,-112.02456740,,https://www.yelp.com/biz/banfield-pet-hospital-west-jordan,2024-05-03 18:42:45,2024-05-03 21:41:01
62,,Brookside Animal Hospital,brookside-animal-hospital,(801) 255-3545,,,,,,,7220 S 1300th W,,West Jordan,UT,84084,US,40.61945650,-111.92965930,10 to 19,https://www.yelp.com/biz/brookside-animal-hospital-west-jordan,2024-05-03 18:42:45,2024-05-03 18:47:45
63,,Eye Care for Animals,eye-care-for-animals,(801) 942-3937,(208) 346-2542,https://www.eyecareforanimals.com,58,,,,1021 E 3300th S,,Salt Lake City,UT,84106,US,40.70021700,-111.86204330,1 to 4,https://www.yelp.com/biz/eye-care-for-animals-salt-lake-city-2,2024-05-03 18:42:45,2024-05-03 21:41:03
64,,Animal Medical Clinic,animal-medical-clinic,(801) 292-7219,,https://www.thrivepetcare.com,59,,,,215 South 500 W,,Bountiful,UT,84010,US,40.88704100,-111.89172200,20 to 49,https://www.yelp.com/biz/animal-medical-clinic-bountiful-2,2024-05-03 18:42:45,2024-05-03 21:41:04
65,,South Mountain Pet Care,south-mountain-pet-care,(801) 987-3639,,http://southmtnpet.com,60,,,,132 E 13800th S,,Draper,UT,84020,US,40.50047020,-111.88678010,10 to 19,https://www.yelp.com/biz/south-mountain-pet-care-draper-2,2024-05-03 18:42:45,2024-05-03 21:41:06
66,,Draper Animal Hospital,draper-animal-hospital,(801) 553-2104,,http://www.draperanimalhospital.com,61,,,,783 E 12300th S,Ste A,Draper,UT,84020,US,40.52722520,-111.86910850,5 to 9,https://www.yelp.com/biz/draper-animal-hospital-draper,2024-05-03 18:42:45,2024-05-03 21:41:08
67,,VCA Mountain View Animal Hospital,vca-mountain-view-animal-hospital,(801) 523-1176,,https://vcahospitals.com,62,,,,9414 S Indian Ridge Dr,,Sandy,UT,84092,US,40.58013370,-111.85287750,20 to 49,https://www.yelp.com/biz/vca-mountain-view-animal-hospital-sandy,2024-05-03 18:42:45,2024-05-03 21:41:10
68,,DogMode,dogmode,(801) 261-2665,,http://www.dogmode.com,63,,,,4030 S Howick St,,Salt Lake City,UT,84107,US,40.68436820,-111.89762120,,https://www.yelp.com/biz/dogmode-salt-lake-city-5,2024-05-03 18:42:45,2024-05-03 21:41:11
69,,Bountiful Small Animal Hospital,bountiful-small-animal-hospital,(801) 295-0733,,http://www.bountifulanimalhospital.com,64,,,,880 S 500th W,,Woods Cross,UT,84010,US,40.88079840,-111.89290970,10 to 19,https://www.yelp.com/biz/bountiful-small-animal-hospital-woods-cross,2024-05-03 18:42:45,2024-05-03 21:41:14
70,,Lone Peak Veterinary Hospital,lone-peak-veterinary-hospital,(801) 572-5403,(801) 621-0440,http://www.lonepeakvet.com,65,,,,12444 S 300th E,,Draper,UT,84020,US,40.52459870,-111.88263940,1 to 4,https://www.yelp.com/biz/lone-peak-veterinary-hospital-draper-2,2024-05-03 18:42:45,2024-05-03 21:41:15
71,,Schilling Michelle M DVM,schilling-michelle-m-dvm,(801) 943-2154,,,,,,,2364 Fort Union Blvd,,Salt Lake City,UT,84121,US,40.62245790,-111.82311270,,https://www.yelp.com/biz/schilling-michelle-m-dvm-salt-lake-city,2024-05-03 18:42:45,2024-05-03 18:44:36
72,,VCA Amor Animal Hospital,vca-amor-animal-hospital,(801) 561-9595,,https://vcahospitals.com,66,,,,8576 S Redwood Rd,,West Jordan,UT,84088,US,40.59549870,-111.93946450,,https://www.yelp.com/biz/vca-amor-animal-hospital-west-jordan,2024-05-03 18:42:45,2024-05-03 21:41:17
73,,Cottonwood Animal Hospital,cottonwood-animal-hospital,(801) 893-2580,,http://cottonwoodanimalhospital.com,67,,,,6360 S Highland Dr,,Salt Lake City,UT,84121,US,40.63587780,-111.83426960,50 to 99,https://www.yelp.com/biz/cottonwood-animal-hospital-salt-lake-city-4,2024-05-03 18:42:45,2024-05-03 21:41:19
74,,Stone Ridge Veterinary Clinic,stone-ridge-veterinary-clinic,(801) 254-4840,,http://www.stoneridgevetclinic.com,68,,,,1381 W Stone Ridge Ln,,Riverton,UT,84065,US,40.53591390,-111.93107930,20 to 49,https://www.yelp.com/biz/stone-ridge-veterinary-clinic-riverton-2,2024-05-03 18:42:45,2024-05-03 21:41:20
75,,Salt Lake Animal Physical Therapy,salt-lake-animal-physical-therapy,(385) 354-7272,,http://www.saltlakeanimalphysicaltherapy.com,69,,,,2285 S Main St,Ste J,South Salt Lake,UT,84115,US,40.72117260,-111.89062640,,https://www.yelp.com/biz/salt-lake-animal-physical-therapy-south-salt-lake,2024-05-03 18:42:45,2024-05-03 21:41:22
76,,West Lake Animal Hospital,west-lake-animal-hospital,(801) 966-6348,,https://westlakeanimalutah.com,70,,,,3800 W 5400th S,,Taylorsville,UT,84129,US,40.65389170,-111.98235310,10 to 19,https://www.yelp.com/biz/west-lake-animal-hospital-taylorsville,2024-05-03 18:42:45,2024-05-03 21:41:24
77,,Amber Technology,amber-technology,(877) 727-8243,,http://www.ambertech.com,71,,,,1963 Pebble Cir,,Lake Point,UT,84074,US,40.67109260,-112.25928880,,https://www.yelp.com/biz/amber-technology-lake-point,2024-05-03 18:42:45,2024-05-03 21:41:25
78,,Camp Bow Wow South Salt Lake,camp-bow-wow-south-salt-lake,(801) 288-2275,,https://www.campbowwow.com,72,,,,475 W 3600th S,Ste A,Salt Lake City,UT,84115,US,40.69329920,-111.90503490,,https://www.yelp.com/biz/camp-bow-wow-south-salt-lake-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:41:27
79,,Pinebrook Animal Hospital,pinebrook-animal-hospital,(435) 571-0456,,http://www.pinebrookanimalhospital.com,73,,,,8178 Gorgoza Pines Rd,Ste C,Park City,UT,84098,US,40.74971280,-111.57212250,,https://www.yelp.com/biz/pinebrook-animal-hospital-park-city,2024-05-03 18:42:45,2024-05-03 21:41:29
80,,Quail Pointe Veterinary Hospital,quail-pointe-veterinary-hospital,(801) 825-9191,,http://www.qpvh.com,74,,,,868 N 2000 W,,Clearfield,UT,84015,US,41.12632150,-112.06379860,20 to 49,https://www.yelp.com/biz/quail-pointe-veterinary-hospital-clearfield-4,2024-05-03 18:42:45,2024-05-03 21:41:30
81,,Banfield Pet Hospital,banfield-pet-hospital-2,(801) 463-6488,,http://www.banfield.com,75,,,,389 W 1830th S,,Salt Lake City,UT,84115,US,40.72932270,-111.90222530,10 to 19,https://www.yelp.com/biz/banfield-pet-hospital-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:41:32
82,,Stansbury Animal Hospital,stansbury-animal-hospital,(435) 843-0341,,http://stansburyanimalhospital.com,76,,,,6422 N Gateway Dr,,Stansbury Park,UT,84074,US,40.64565620,-112.29032790,,https://www.yelp.com/biz/stansbury-animal-hospital-stansbury-park-2,2024-05-03 18:42:45,2024-05-03 21:41:34
83,,Animal Care Center - Airport,animal-care-center-airport,(801) 294-5960,,https://www.thrivepetcare.com,77,,,,1977 W North Temple St,,Salt Lake City,UT,84116,US,40.77109210,-111.94768720,5 to 9,https://www.yelp.com/biz/animal-care-center-airport-salt-lake-city,2024-05-03 18:42:45,2024-05-03 21:41:36
84,,Highland Park Pet Hospital,highland-park-pet-hospital,(385) 243-2273,,http://www.highlandparkpethospital.com,78,,,,2148 S 900th E,,Salt Lake City,UT,84106,US,40.72424160,-111.86581670,5 to 9,https://www.yelp.com/biz/highland-park-pet-hospital-no-title,2024-05-03 18:42:45,2024-05-03 21:41:37
85,,Mountain Vale Clinic - Salt Lake Veterinary Services,mountain-vale-clinic-salt-lake-veterinary-services,(801) 261-3655,,https://www.saltlakevetservices.com,79,,,,1114 W 4800 S,,Salt Lake City,UT,84123,US,40.66493760,-111.92354070,,https://www.yelp.com/biz/mountain-vale-clinic-salt-lake-veterinary-services-salt-lake-city-2,2024-05-03 18:42:45,2024-05-03 21:41:39
